File_name,Reference_transcript ,Language,nemo_indic_conformer_transcription,nemo_indic_conformer_wer,nemo_indic_conformer_slang_score,nemo_google_speech_transcription,nemo_google_speech_wer,nemo_google_speech_slang_score,audio_links
ff4787fa-59ab-4fa6-8d28-5fcccb05120c,give some hundred rupees to vijay,en-IN,gives some hundred upees to vijai,0.5,0.0,give some hundred ways to easy,0.3333333333333333,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/ff4787fa-59ab-4fa6-8d28-5fcccb05120c.wav
feec7e5a-fcf6-4850-8614-1c41b8e515db,what are the offers of paying water bill through the app,en-IN,what are the offers of paying waterbill through the app,0.18181818181818182,0.0,what are the offers of paying water bill to the app,0.09090909090909091,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/feec7e5a-fcf6-4850-8614-1c41b8e515db.wav
fe270614-16d4-416b-855a-5e6e542ad540,request three sixty five from madhu,en-IN,request 365 from madu,0.6,0.0,request 365 from Madu,0.6,0.6,https://storage.googleapis.com/slang-audio-test-data/audio/fe270614-16d4-416b-855a-5e6e542ad540.wav
fe1f1315-af02-4483-b280-cbe620051311,They are sound to pay five hundred rupees has a representative so please pay it,en-IN,it has shown to pay rs500 as electricity so play paid,0.6923076923076923,0.0,listen to pay 500 rupees as electricity to play Spade,0.8461538461538461,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fe1f1315-af02-4483-b280-cbe620051311.wav
fe1b58c3-8e41-457b-ad0e-12c976e36917,donate fifty thousand to Dr. Praveens eye hospital,en-IN,donate 50000 to dr. proravince i hospital,0.42857142857142855,0.0,"donate 50,000 to dr. praveen's I Hospital",0.7142857142857143,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fe1b58c3-8e41-457b-ad0e-12c976e36917.wav
fdf06a9e-e1fc-42a7-9f8b-83b7729a3314,request five not one rupees from giri,en-IN,request phive naught one rupees from giri,0.2857142857142857,0.0,request final 20 piece from Gary,0.7142857142857143,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/fdf06a9e-e1fc-42a7-9f8b-83b7729a3314.wav
fd04afb3-3465-47dc-8c4a-85c5532fb5d3,five hundred,en-IN,500,0.0,0.0,500,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fd04afb3-3465-47dc-8c4a-85c5532fb5d3.wav
fc65298a-237d-4555-8cd8-9c70eb0ac36a,what is the last payment ID,en-IN,what is the last payment i did,0.3333333333333333,0.0,what is the last payment.,0.3333333333333333,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fc65298a-237d-4555-8cd8-9c70eb0ac36a.wav
fbf2fa64-8512-4aee-9c28-dcda27429ffb,go ahead and pay all the pending request,en-IN,go ahead and pay all the pending requests,0.125,0.0,go ahead and pay all the pending request,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fbf2fa64-8512-4aee-9c28-dcda27429ffb.wav
fb4fe4a5-2311-4d60-a01c-d873bbcbae68,send five thousand to amithanshu bhaiya,en-IN,send 5000 to amitan shubaya,0.4,0.0,send 5000 to Amazon shubhayu,0.4,0.6,https://storage.googleapis.com/slang-audio-test-data/audio/fb4fe4a5-2311-4d60-a01c-d873bbcbae68.wav
fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786,show starter and put twenty one rupees in the amount,en-IN,shows gather and put rs21 in amount,0.375,0.0,Shawn Carter and 21 rupees in amount,0.625,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786.wav
fa61899b-052a-4b53-b7d4-e3ff6a290dab,pay my DTH bill,en-IN,pay may dth bill,0.5,0.0,female dth bill,0.75,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/fa61899b-052a-4b53-b7d4-e3ff6a290dab.wav
fa6a612b-8f2e-4d9e-9794-270495811ae0,please pay the minimum of five thousand rupees for my credit card bill,en-IN,please pay the minimum of rs5000 for my credit card bill,0.0,0.0,please pay the minimum of rs5000 for my credit card bill,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fa6a612b-8f2e-4d9e-9794-270495811ae0.wav
f86854f2-8304-470a-b267-cc9b0db7b917,check the IPO listed in my App,en-IN,check the ipo listed in my app,0.2857142857142857,1.0,today pure listed in my app,0.5714285714285714,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f86854f2-8304-470a-b267-cc9b0db7b917.wav
f9897d8e-4013-404b-8aa4-01939bbe6ed2,send one thousand to satish,en-IN,send 1000 to satish,0.0,0.0,send 1000 to Satish,0.25,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f9897d8e-4013-404b-8aa4-01939bbe6ed2.wav
f04865c8-4312-4c5f-9319-01c3a372313f,i want to clear my DTH outstanding,en-IN,i want to clear my dth outstanding,0.14285714285714285,0.0,I want to clear my dth outstanding,0.2857142857142857,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f04865c8-4312-4c5f-9319-01c3a372313f.wav
f3628df0-447b-4623-bcd5-64aefc185694,show me offers,en-IN,show me offers,0.0,0.0,show me office,0.3333333333333333,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f3628df0-447b-4623-bcd5-64aefc185694.wav
f236a752-3de0-41b6-93be-58122496ced0,send two hundred to Dr. Aishwarya for her consultation fees,en-IN,sent 200 to dodr asharia for her consultation fees,0.3333333333333333,0.0,send 200 to dr. Aishwarya for her cancellation fees,0.2222222222222222,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f236a752-3de0-41b6-93be-58122496ced0.wav
f92e6155-cead-4e42-8a01-fdcb5c681281,pull up QR code scanner I want to pay,en-IN,pull up q r code scanner i want to pay,0.3333333333333333,0.0,pull up qr-code Scanner I want to pay,0.3333333333333333,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f92e6155-cead-4e42-8a01-fdcb5c681281.wav
f50b5353-4fb2-4c59-83b4-f4957c2ee83e,pay five hundred rupees has DTH bill,en-IN,pay rs500 as ths bill,0.4,0.0,Buffet Indian rupees Seth bill,0.8,0.33333333333333337,https://storage.googleapis.com/slang-audio-test-data/audio/f50b5353-4fb2-4c59-83b4-f4957c2ee83e.wav
